"Dataset name: Interest rate statistics (2004 EU Member States & ACCBs); Frequency: Monthly; Interest rate type: Long-term interest rate for convergence purposes; Transaction type: Debt security issued; Maturity category: 10 years; BS counterpart sector: Unspecified counterpart sector; IR business coverage: New business; Interest rate type (fix/var): Unspecified",
,"IRS.M.GB.L.L40.CI.0000.GBP.N.Z"
,"United Kingdom (GB), UK pound sterling"
"Collection:","Average of observations through period (A)"
"Period\Unit:","[Percent ]"
"2011Oct",2.52
"2011Sep",2.41
"2011Aug",2.37
"2011Jul",2.88
"2011Jun",3.09
"2011May",3.49
"2011Apr",3.78
"2011Mar",3.78
"2011Feb",4
"2011Jan",3.82
"2010Dec",3.34
"2010Nov",3.03
"2010Oct",2.8
"2010Sep",2.84
"2010Aug",2.68
"2010Jul",2.97
"2010Jun",3.14
"2010May",3.6
"2010Apr",3.96
"2010Mar",3.98
"2010Feb",4.02
"2010Jan",4.01
"2009Dec",3.6
"2009Nov",3.46
"2009Oct",3.34
"2009Sep",3.42
"2009Aug",3.45
"2009Jul",3.55
"2009Jun",3.52
"2009May",3.41
"2009Apr",3.16
"2009Mar",3
"2009Feb",3.23
"2009Jan",3.17
"2008Dec",3.36
"2008Nov",4.13
"2008Oct",4.52
"2008Sep",4.57
"2008Aug",4.68
"2008Jul",5
"2008Jun",5.16
"2008May",4.84
"2008Apr",4.62
"2008Mar",4.42
"2008Feb",4.45
"2008Jan",4.26
"2007Dec",4.7
"2007Nov",4.74
"2007Oct",5
"2007Sep",5.05
"2007Aug",5.19
"2007Jul",5.46
"2007Jun",5.49
"2007May",5.2
"2007Apr",5.1
"2007Mar",4.88
"2007Feb",4.97
"2007Jan",4.94
"2006Dec",4.54
"2006Nov",4.45
"2006Oct",4.51
"2006Sep",4.44
"2006Aug",4.49
"2006Jul",4.49
"2006Jun",4.5
"2006May",4.49
"2006Apr",4.37
"2006Mar",4.19
"2006Feb",4.05
"2006Jan",3.97
"2005Dec",4.27
"2005Nov",4.37
"2005Oct",4.4
"2005Sep",4.25
"2005Aug",4.34
"2005Jul",4.31
"2005Jun",4.31
"2005May",4.45
"2005Apr",4.67
"2005Mar",4.87
"2005Feb",4.66
"2005Jan",4.6
"2004Dec",4.58
"2004Nov",4.74
"2004Oct",4.81
"2004Sep",4.95
"2004Aug",5.03
"2004Jul",5.14
"2004Jun",5.24
"2004May",5.15
"2004Apr",4.99
"2004Mar",4.76
"2004Feb",4.88
"2004Jan",4.84
"2003Dec",4.94
"2003Nov",5.1
"2003Oct",4.96
"2003Sep",4.76
"2003Aug",4.64
"2003Jul",4.47
"2003Jun",4.19
"2003May",4.31
"2003Apr",4.56
"2003Mar",4.41
"2003Feb",4.29
"2003Jan",4.31
"2002Dec",4.49
"2002Nov",4.55
"2002Oct",4.53
"2002Sep",4.45
"2002Aug",4.67
"2002Jul",5.02
"2002Jun",5.19
"2002May",5.35
"2002Apr",5.33
"2002Mar",5.34
"2002Feb",5.04
"2002Jan",5.02
"2001Dec",4.94
"2001Nov",4.67
"2001Oct",4.86
"2001Sep",5.02
"2001Aug",5.07
"2001Jul",5.3
"2001Jun",5.3
"2001May",5.21
"2001Apr",5.03
"2001Mar",4.82
"2001Feb",4.95
"2001Jan",4.94
"2000Dec",4.95
"2000Nov",5.11
"2000Oct",5.2
"2000Sep",5.38
"2000Aug",5.32
"2000Jul",5.24
"2000Jun",5.21
"2000May",5.41
"2000Apr",5.3
"2000Mar",5.34
"2000Feb",5.63
"2000Jan",5.83
"1999Dec",5.36
"1999Nov",5.23
"1999Oct",5.78
"1999Sep",5.6
"1999Aug",5.31
"1999Jul",5.27
"1999Jun",5.09
"1999May",4.83
"1999Apr",4.54
"1999Mar",4.6
"1999Feb",4.37
"1999Jan",4.2
"1998Dec",4.54
"1998Nov",4.93
"1998Oct",4.99
"1998Sep",5.16
"1998Aug",5.63
"1998Jul",5.92
"1998Jun",5.87
"1998May",5.92
"1998Apr",5.88
"1998Mar",6.05
"1998Feb",6.1
"1998Jan",6.16
"1997Dec",6.43
"1997Nov",6.7
"1997Oct",6.57
"1997Sep",6.88
"1997Aug",7.17
"1997Jul",7.13
"1997Jun",7.24
"1997May",7.25
"1997Apr",7.74
"1997Mar",7.55
"1997Feb",7.29
"1997Jan",7.66
"1996Dec",7.68
"1996Nov",7.69
"1996Oct",7.64
"1996Sep",7.95
"1996Aug",7.96
"1996Jul",8.06
"1996Jun",8.2
"1996May",8.23
"1996Apr",8.21
"1996Mar",8.2
"1996Feb",7.9
"1996Jan",7.55
"1995Dec",7.59
"1995Nov",7.91
"1995Oct",8.24
"1995Sep",8.07
"1995Aug",8.26
"1995Jul",8.39
"1995Jun",8.24
"1995May",8.28
"1995Apr",8.55
"1995Mar",8.7
"1995Feb",8.76
"1995Jan",8.84
"1994Dec",8.7
"1994Nov",8.75
"1994Oct",8.88
"1994Sep",8.99
"1994Aug",8.69
"1994Jul",8.54
"1994Jun",8.72
"1994May",8.29
"1994Apr",7.82
"1994Mar",7.42
"1994Feb",6.71
"1994Jan",6.32
"1993Dec",6.38
"1993Nov",6.88
"1993Oct",6.92
"1993Sep",7.02
"1993Aug",7.1
"1993Jul",7.62
"1993Jun",8.01
"1993May",8.22
"1993Apr",7.97
"1993Mar",7.85
"1993Feb",8.11
"1993Jan",8.48
